VOL_WINDOW,SORTINO_WINDOW,IR_WINDOW,TACTICAL_MAX_WEIGHT,ALLOC_SMOOTH_SPAN,NO_TRADE_BAND,run_id,cagr,ann_vol,sharpe,sortino,max_dd,calmar,status
21,252,252,0.5,10,0.1,1,0.17058703985978196,0.22558038083842544,0.7562139900010494,0.9251789644429559,-0.30158372226036645,0.5656374242655874,ok
11,315,189,0.375,5,0.1,2,0.1603331706018254,0.23759424245188296,0.6748192588643881,0.8248798062087165,-0.3411249259162204,0.4700130609664182,ok
11,252,252,0.5,13,0.125,3,0.16340102855283978,0.23782853236938606,0.6870539330371498,0.8518571559655672,-0.3288371650139838,0.49690559929833705,ok
32,315,252,0.375,15,0.05,4,0.14964259394649826,0.22249833210729175,0.6725560256080416,0.8126795478035597,-0.2997275380710412,0.49926207951913343,ok
32,189,315,0.625,13,0.075,5,0.15738247120090887,0.21437222586817886,0.7341551386310932,0.8914259140692539,-0.2926630959930081,0.5377598793824994,ok
21,126,378,0.5,15,0.125,6,0.17017516975623947,0.22330192077093164,0.7620855618649567,0.9417001555542437,-0.3342198152231199,0.509171395605713,ok
21,378,189,0.75,5,0.1,7,0.16605367405665028,0.24183988222817873,0.6866265089394011,0.8109564228713925,-0.38269326258606534,0.43390801535029855,ok
11,126,126,0.25,13,0.1,8,0.17504096924553614,0.23278632230560978,0.7519383764125815,0.9406164900643879,-0.3854859145011228,0.4540787682789024,ok
16,315,315,0.25,5,0.1,9,0.15436541851257846,0.234055766622981,0.6595240986359955,0.8137218661813649,-0.35560341987092753,0.4340943024918267,ok
21,189,126,0.25,10,0.075,10,0.17196843547447815,0.2271809264345401,0.756966872938733,0.9395203267943136,-0.3186644888903398,0.5396535901232994,ok
21,126,315,0.25,15,0.075,11,0.1735466102287715,0.2233509595225063,0.7770130497750729,0.9701790882359309,-0.33964663420433155,0.5109622553314213,ok
16,315,315,0.375,15,0.125,12,0.1549773285894478,0.23331298197262237,0.6642464867541459,0.8166312522549336,-0.3529233410441432,0.4391246215989535,ok
11,189,126,0.625,5,0.15,13,0.17947745755438227,0.25049675590137066,0.7164861553139188,0.8635852604924763,-0.41786166515658346,0.4295140533820624,ok
26,252,126,0.75,13,0.125,14,0.14322152823783973,0.23810897948537285,0.6014957039729697,0.6921904990684564,-0.3777293823969586,0.37916438305381067,ok
26,189,189,0.375,8,0.075,15,0.15974779875555511,0.2223767186849733,0.718365662108089,0.8786734450469778,-0.2861825181755372,0.5582025057783921,ok
21,252,126,0.5,8,0.075,16,0.16376807511757852,0.22564315079215844,0.7257834972727645,0.872862004108437,-0.30913458781756675,0.5297630274041832,ok
32,378,378,0.75,5,0.15,17,0.14146850575298697,0.23125805068566713,0.6117344037690399,0.7243419662142437,-0.4162376158394575,0.33987438993872976,ok
26,189,252,0.5,10,0.15,18,0.15287518974314174,0.2276725237731028,0.6714696495194841,0.8247606759483714,-0.32378084932236717,0.47215636768848557,ok
32,315,378,0.5,8,0.05,19,0.1360083942430641,0.21605011350904063,0.6295224382623286,0.7529291237289626,-0.3164195442381295,0.4298356303196858,ok
32,378,189,0.5,8,0.05,20,0.1441883348431734,0.2192003796542263,0.6577923590762967,0.7874200933558564,-0.34964472401460656,0.412385272649359,ok
32,126,315,0.375,8,0.05,21,0.16766433444617102,0.21202487639886378,0.7907767111759039,0.9758158124270967,-0.2980737460654734,0.5624927946835772,ok
32,378,378,0.5,5,0.1,22,0.1375715072574868,0.22217575502454986,0.6192012591215702,0.746684155123529,-0.34791073758050717,0.39542184933470903,ok
26,378,252,0.625,10,0.125,23,0.14177680964493544,0.2346058604166834,0.6043191307886584,0.7179659234192772,-0.3774043041617298,0.37566293781371274,ok
16,126,126,0.625,5,0.15,24,0.17829534107480804,0.2454912659547027,0.7262797736670051,0.8673850199630919,-0.3930518824790139,0.45361782762693603,ok
16,189,378,0.375,10,0.075,25,0.175893916429807,0.22543038024914083,0.7802582608227552,0.9699366417859319,-0.3090686026073375,0.5691096246786188,ok
16,126,252,0.625,8,0.15,26,0.1986879066904641,0.23524006705717768,0.8446176247780564,1.0408550063733322,-0.3662729962855117,0.5424585178416643,ok
16,315,189,0.25,15,0.125,27,0.15797417455487905,0.23569213231512545,0.6702564612706893,0.8269067557153403,-0.3411359383388856,0.4630827678963187,ok
21,315,252,0.375,8,0.05,28,0.16072726432254192,0.22639754035309126,0.7099337920008782,0.8626091258581506,-0.29977953316422834,0.5361515598681336,ok
21,252,189,0.75,15,0.05,29,0.1759287552279667,0.23072845044176157,0.7624926830268514,0.9064089564563524,-0.3523458810033404,0.49930697281600633,ok
11,315,378,0.25,13,0.15,30,0.1496884699435368,0.23881931107477106,0.6267854524405331,0.7793797460331866,-0.4220299012892434,0.3546868823423627,ok
26,378,378,0.25,13,0.05,31,0.12989693612343434,0.2252484994653259,0.5766828033561675,0.693503989796738,-0.3677998492052902,0.35317289119096784,ok
32,315,252,0.375,5,0.15,32,0.14571170616375761,0.22755229464565915,0.6403438224635686,0.7767886105086693,-0.3299805374656435,0.44157666777219745,ok
11,252,378,0.5,10,0.075,33,0.15533893908327934,0.22706723132445833,0.6841098919346675,0.8366302758884949,-0.311800149059732,0.4982003361823949,ok
11,315,252,0.5,15,0.1,34,0.16367813718607538,0.2398887772187775,0.6823084392847676,0.8369738715224713,-0.3368079921245888,0.485968685462574,ok
26,126,189,0.75,5,0.125,35,0.1756250271348785,0.22752220608142842,0.7719027964770333,0.9197681447029247,-0.3288929651577969,0.533988396652439,ok
16,189,126,0.375,13,0.05,36,0.17316265715422618,0.22604756919081065,0.7660452079803459,0.9409590740908917,-0.3145500260796863,0.5505091171423339,ok
16,252,126,0.375,5,0.075,37,0.16514077027146157,0.22673811810325353,0.7283326317291681,0.8887261410466114,-0.31339224238509344,0.5269459416565204,ok
21,252,252,0.625,13,0.1,38,0.16793015586390636,0.2298234590302957,0.7306919692726822,0.8864726290694082,-0.31010659240863064,0.5415239790923989,ok
32,126,315,0.5,10,0.125,39,0.1535844287722643,0.21711516728242244,0.7073869167900295,0.8752042991859466,-0.349006457659724,0.4400618538755142,ok
11,126,189,0.75,8,0.1,40,0.19387970855074332,0.2412732946970365,0.80356886904618,0.9645466653670681,-0.3821975378266698,0.5072761840728278,ok
11,378,189,0.75,15,0.05,41,0.16665494688682436,0.2487820172538705,0.6698834133045908,0.7924122652975357,-0.44126282008519174,0.3776772918566975,ok
21,189,378,0.625,13,0.1,42,0.1662714108026484,0.22134332109201305,0.7511923557590829,0.9022644730305411,-0.3172857589068989,0.5240430940722977,ok
32,189,315,0.625,15,0.15,43,0.15835283782858722,0.22028785843424137,0.7188450555292746,0.8803531025366456,-0.32713364992624666,0.48406159948476224,ok
26,378,315,0.75,8,0.15,44,0.1345686098855039,0.24149779044609385,0.5572250149242742,0.6452501709543285,-0.3904615732974859,0.3446398290849953,ok
21,252,315,0.25,15,0.05,45,0.1581827067795163,0.22114701485544272,0.7152830296303826,0.8822665983314383,-0.34782802683235914,0.4547727456584595,ok
16,378,126,0.25,10,0.125,46,0.15008775363739724,0.2359779888957748,0.6360243781198043,0.781275312362519,-0.35463668855620806,0.42321552868213497,ok
26,189,126,0.75,10,0.125,47,0.15194722302583652,0.23832579176436613,0.6375609702204094,0.7430109317923395,-0.38209111567207105,0.39767274556638715,ok
16,252,189,0.625,8,0.1,48,0.16722688380572004,0.23622515247915013,0.7079131161550628,0.8508029764364219,-0.3705099425418039,0.4513425001728588,ok
26,126,315,0.25,10,0.15,49,0.1627311903065236,0.22919970011961102,0.7099973962513917,0.8932467111550818,-0.3681762143028859,0.4419926762912779,ok
26,252,378,0.625,10,0.075,50,0.14454163324369307,0.21762907917306662,0.6641650729438977,0.7887328670788578,-0.3396431026948312,0.425569169804586,ok
